Band Value,CARBON_L_ha Count
0,641
1,"1,040.859"
2,"22,030.365"
3,"9,715.522"
4,"15,293.384"
5,"9,719.325"
6,"29,901.655"
7,"27,286.792"
8,"16,505.086"
9,"4,869.82"
10,"56,726.345"
11,"39,804.827"
12,"4,361.443"
13,"3,338.918"
14,"4,874.953"
15,"13,438.416"
16,"1,717"
17,"25,614.827"
18,"45,774.835"
19,"43,845.949"
20,"1,970.263"
21,"8,992.91"
22,"50,810.596"
23,"55,888.392"
24,"18,491.098"
25,"25,445.569"
26,"104,094.176"
27,"42,270.243"
28,"184,418.4"
29,"7,861.925"
30,"39,201.251"
31,"180,339.769"
32,"57,707.439"
33,"18,145.969"
34,"51,951.22"
35,"32,693.733"
36,"41,812.463"
37,"113,409.341"
38,"64,486.639"
39,"175,057.333"
40,"164,942.141"
41,"335,379.616"
42,"36,534.443"
43,"63,778.761"
44,"227,269.518"
45,"37,313.165"
46,"28,544.506"
47,"24,972.82"
48,"59,912.847"
49,"30,445.561"
50,"138,209.247"
51,"76,646.961"
52,"40,684.996"
53,"30,064.529"
54,"150,473.263"
55,"113,381.424"
56,"34,310.267"
57,"95,297.627"
58,"115,450.243"
59,"26,791.392"
60,"76,413.384"
61,"117,794.31"
62,"50,723.62"
63,"58,871.722"
64,"160,623.286"
65,"228,390.718"
66,"430,849.51"
67,"105,712.361"
68,"120,077.031"
69,"27,331.353"
70,"422,290.89"
71,"96,465.306"
72,"101,801.239"
73,"328,410.012"
74,"149,332.502"
75,"60,715.302"
76,"72,218.306"
77,"15,340.075"
78,"196,209.471"
79,"84,906.208"
80,"111,737.686"
81,"56,557.678"
82,"78,641.424"
83,"302,108.69"
84,"112,374.635"
85,"94,705.486"
86,"162,714.537"
87,"9,943.082"
88,"74,526.706"
89,"202,072.941"
90,"173,502.882"
91,"224,916.635"
92,"44,953.855"
93,"86,580.965"
94,"296,523.102"
95,"34,820.196"
96,"370,238.439"
97,"96,159.024"
98,"6,135.855"
99,"71,418.616"
100,"42,231.518"
101,"49,192.263"
102,"376,239.725"
103,"294,288.776"
104,"50,538.996"
105,"72,485.678"
106,"157,421.31"
107,"242,791.725"
108,"134,291.047"
109,"73,713"
110,"186,919.286"
111,"177,614.22"
112,"102,196.545"
113,"421,548.278"
114,"74,232.855"
115,"152,514.824"
116,"95,263.133"
117,"4,333.941"
118,"756,151.427"
119,"315,463.761"
120,"86,643.408"
121,"152,655.714"
122,"52,660.596"
123,"5,025.086"
124,"29,574.192"
125,"7,612.278"
126,"23,347.29"
127,"18,545.937"
128,"63,886"
129,"75,827.663"
130,"1,080.063"
131,"1,902.004"
132,"19,074.929"
133,"24,046.898"
134,"6,218.733"
135,"80,509.467"
136,"1,469.373"
137,"2,015.373"
138,"19,698.212"
139,186
140,690
141,"86,525.157"
142,"34,220.631"
143,49
144,46
145,428.102
146,"1,103.522"
147,111
148,"14,377.898"
149,"1,099.251"
150,"246,337.451"
151,"1,806.749"
152,
153,
154,508.655
155,
156,
157,
158,
159,
160,
161,"1,103.749"
162,"45,577.882"
163,
164,
165,
166,"4,346.392"
167,"25,628.557"
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,"99,191.51"
180,
181,
182,16
183,
184,
185,586.624
186,
187,
188,258
189,
190,
191,
192,
193,
194,
195,
196,1
